WIID,Description,Type,Status,Date
69139269,Verify Account Position,WI1,Open,2019-05-18
69139178,Calculate Client Security Hash,WI5,Open,2018-03-04
69139179,Calculate Client Security Hash,WI5,Open,2020-09-06
69139181,Calculate Client Security Hash,WI5,Open,2019-09-09
69139191,Calculate Client Security Hash,WI5,Open,2021-04-11
69139187,Calculate Client Security Hash,WI5,Open,2021-02-10
69139273,Verify Account Position,WI1,Open,2020-06-21
69139259,Research Client Check Copy,WI2,Open,2019-05-02
69139227,Research Client Check Copy,WI2,Open,2017-06-05
69139256,Research Client Check Copy,WI2,Open,2017-10-31
69139220,Process Vendor Invoice,WI3,Open,2020-08-06
69139293,Verify Account Position,WI1,Open,2020-05-14
69139198,Generate Yearly Report for Vendor,WI4,Open,2019-09-13
69139210,Generate Yearly Report for Vendor,WI4,Open,2020-06-29
69139206,Generate Yearly Report for Vendor,WI4,Open,2020-04-03
69139270,Verify Account Position,WI1,Open,2019-04-23
69139248,Research Client Check Copy,WI2,Open,2019-02-27
69139246,Research Client Check Copy,WI2,Open,2020-02-18
69139268,Verify Account Position,WI1,Open,2019-05-22
69139264,Verify Account Position,WI1,Open,2017-10-23
69139300,Verify Account Position,WI1,Open,2019-07-22
69139225,Research Client Check Copy,WI2,Open,2020-08-28
69139233,Research Client Check Copy,WI2,Open,2019-08-30
69139221,Process Vendor Invoice,WI3,Open,2017-10-20
69139251,Research Client Check Copy,WI2,Open,2018-07-17
69139226,Research Client Check Copy,WI2,Open,2019-07-10
69139257,Research Client Check Copy,WI2,Open,2018-06-22
69139185,Calculate Client Security Hash,WI5,Open,2020-06-13
69139213,Process Vendor Invoice,WI3,Open,2020-11-15
69139199,Generate Yearly Report for Vendor,WI4,Open,2018-08-16
69139296,Verify Account Position,WI1,Open,2020-08-09
69139209,Generate Yearly Report for Vendor,WI4,Open,2019-08-22
69139294,Verify Account Position,WI1,Open,2020-06-04
69139262,Verify Account Position,WI1,Open,2017-07-31
69139280,Verify Account Position,WI1,Open,2019-05-21
69139241,Research Client Check Copy,WI2,Open,2018-04-14
